Monthly measles cases in Iceland from April 1904 to January 1974,
,
time,cases
11/1/1967,17
12/1/1967,12
1/1/1968,42
2/1/1968,17
3/1/1968,1
4/1/1968,19
5/1/1968,5
6/1/1968,20
7/1/1968,1
8/1/1968,3
9/1/1968,
10/1/1968,4
11/1/1968,15
12/1/1968,14
1/1/1969,72
2/1/1969,87
3/1/1969,46
4/1/1969,29
5/1/1969,40
6/1/1969,97
7/1/1969,192
8/1/1969,321
9/1/1969,500
10/1/1969,733
11/1/1969,452
12/1/1969,276
1/1/1970,145
2/1/1970,80
3/1/1970,76
4/1/1970,136
5/1/1970,140
6/1/1970,61
7/1/1970,46
8/1/1970,19
9/1/1970,20
10/1/1970,17
11/1/1970,5
12/1/1970,2
1/1/1971,
2/1/1971,
3/1/1971,
4/1/1971,
5/1/1971,
6/1/1971,
7/1/1971,
8/1/1971,
9/1/1971,
10/1/1971,
11/1/1971,
12/1/1971,
1/1/1972,
2/1/1972,
3/1/1972,
4/1/1972,
5/1/1972,
6/1/1972,
7/1/1972,
8/1/1972,
9/1/1972,
10/1/1972,2
11/1/1972,1
12/1/1972,69
1/1/1973,559
2/1/1973,979
3/1/1973,888
4/1/1973,503
5/1/1973,331
6/1/1973,222
7/1/1973,153
8/1/1973,34
9/1/1973,77
10/1/1973,49
11/1/1973,53
12/1/1973,29
1/1/1974,4
